Data;Hora UTC;PRECIPITAO TOTAL. HORARIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO. HORARIA (mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m2);TEMPERATURA DO AR - BULBO SECO. HORARIA (C);TEMPERATURA DO PONTO DE ORVALHO (C);TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C);TEMPERATURA MINIMA NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR. HORARIA (%);VENTO. DIREAO HORARIA (gr) ((gr));VENTO. RAJADA MAXIMA (m/s);VENTO. VELOCIDADE HORARIA (m/s);REGIAO;UF;ESTACAO;CODIGO (WMO);LATITUDE;LONGITUDE;ALTITUDE;DATA DE FUNDACAO
2021/02/13;2300 UTC;.6;1011;1011.3;1010.4;;23.7;;23.8;23.4;;;;;;98.0;7.9;4.5;SE;RJ;ARRAIAL DO CABO;A606;-22.97527777;-42.02138888;5;22/09/06
2022/11/26;1200 UTC;3;1007.8;1007.8;1006.8;39;23.3;21.7;23.7;23.3;22.4;21.7;92.0;91.0;91.0;50.0;5.3;2.8;N;AM;MANAUS;A101;-3.10333333;-60.01638888;61.25;09/05/00
2022/12/31;0600 UTC;0;959.1;959.1;958.9;;22.5;22.5;22.6;22.5;22.6;22.5;100.0;100.0;100.0;78.0;3.7;2.4;CO;MT;NOVA UBIRATA;A929;-13.41111111;-54.75222222;466.48;13/04/08
2022/08/06;0800 UTC;0;929.7;929.8;929.4;;13.4;13.4;13.6;13.4;13.6;13.4;100.0;100.0;100.0;125.0;5.9;2.2;SE;SP;SAO PAULO - INTERLAGOS;A771;-23.724501;-46.677501;771;14/03/18
2022/04/08;1800 UTC;0;1008.2;1008.9;1008.2;;26.9;;28.8;26.8;;;;;;;;;N;AP;ITAUBAL;A251;.56777777;-50.8236111;21;24/08/17
2020/10/07;1800 UTC;0;917.9;917.9;917.8;752.1;21.3;13.8;22.8;21.3;14.8;13.1;64.0;56.0;62.0;261.0;5.7;1.9;S;RS;CANELA;A879;-29.36888888;-50.82722221;830.93;23/08/08
2022/01/13;1300 UTC;;;;;;;;;;;;;;;;;;N;PA;SALINOPOLIS;A215;-.61888888;-47.35666666;23.18;14/06/08
2020/11/28;1500 UTC;0;930.3;930.8;930.3;3883.1;29.2;14.3;29.6;27.9;17.7;14.2;50.0;40.0;40.0;119.0;4.1;1.7;SE;SP;SAO PAULO - INTERLAGOS;A771;-23.724501;-46.677501;771;14/03/18
2021/11/08;0900 UTC;0;945.1;945.1;944;26.8;23;20.3;23;22.8;20.3;20.1;85.0;84.0;85;55.0;5.8;1.6;SE;MG;CARATINGA;A554;-19.735757;-42.137146;609.25;24/05/07
2022/11/09;0900 UTC;0;877.6;877.6;877.2;17.6;17.4;14.8;17.4;16.7;14.9;14.5;89.0;84.0;85.0;52.0;3.3;.1;CO;GO;ALTO PARAISO DE GOIAS;A024;-14.13305554;-47.52333332;1264.7;04/06/07
